susu murni;air;Resistansi;Label
100;0;0.803;susu murni
100;0;0.948;susu murni
100;0;0.966;susu murni
100;0;0.821;susu murni
100;0;0.952;susu murni
100;0;0.954;susu murni
100;0;0.960;susu murni
100;0;0.933;susu murni
100;0;0.988;susu murni
100;0;0.970;susu murni
100;0;0.977;susu murni
100;0;0.980;susu murni
100;0;0.992;susu murni
100;0;0.987;susu murni
100;0;0.993;susu murni
50;50;0.673;susu campuran
50;50;0.604;susu campuran
50;50;0.592;susu campuran
50;50;0.679;susu campuran
50;50;0.648;susu campuran
50;50;0.660;susu campuran
50;50;0.675;susu campuran
50;50;0.650;susu campuran
50;50;0.680;susu campuran
50;50;0.683;susu campuran
50;50;0.684;susu campuran
50;50;0.685;susu campuran
50;50;0.686;susu campuran
50;50;0.689;susu campuran
50;50;0.703;susu campuran
